order_id,name,ordered_at,price,quantity,line_total
10000,"""ICE CREAM"" Peanut Fudge",2018-01-01 11:30:00,$3.50,3,$10.50
10000,"""ICE CREAM"" Peanut Fudge",2018-01-01 11:30:00,$3.50,1,$3.50
10001,"""SORBET"" Raspberry",2018-01-01 12:14:54,$2.50,2,$5.00
10001,,2018-01-01 12:14:54,$1.50,1,$1.50
10001,"""CONE"" Dipped Waffle Cone",2018-01-01 12:14:54,$3.50,1,$3.50
10002,"""SORBET"" Lychee",2018-01-01 12:23:09,$3.00,1,$3.00
10002,,2018-01-01 12:23:09,$3.00,3,$9.00
10002,"""ICE CREAM"" Earl Gray",2018-01-01 12:23:09,$0.50,3,$1.50
10003,"""ICE CREAM"" Matcha",2018-01-01 12:49:35,$1.50,3,$4.50
10004,"""BEVERAGE"" Iced Coffee",2018-01-01 13:22:59,$2.50,2,$5.00
10004,"""BEVERAGE"" Espresso",2018-01-01 13:22:59,$2.50,1,$2.50
10004,"""ICE CREAM"" Mint Chip",2018-01-01 13:22:59,$1.50,2,$3.00
10004,"""CONE"" Brownie Cone",2018-01-01 13:22:59,$3.00,3,$9.00
10004,"""ICE CREAM"" Dulce De Leche",2018-01-01 13:22:59,$1.50,3,$4.50
10005,"""SORBET"" Raspberry",2018-01-01 13:58:20,$2.50,2,$5.00
10005,"""ICE CREAM"" Dulce De Leche",2018-01-01 13:58:20,$1.50,2,$3.00
10005,"""CONE"" Waffle Cone",2018-01-01 13:58:20,$4.00,2,$8.00
10005,"""ICE CREAM"" Candied Bacon",2018-01-01 13:58:20,$0.50,1,$0.50
10005,"""SORBET"" Raspberry",2018-01-01 13:58:20,$2.50,1,$2.50
10006,"""MISC"" Ice Cream Cake",2018-01-01 14:55:50,$2.00,3,$6.00
10006,"""SORBET"" Lychee",2018-01-01 14:55:50,$3.00,1,$3.00
10006,"""CONE"" Waffle Cone",2018-01-01 14:55:50,$4.00,1,$4.00
10006,"""ICE CREAM"" Peanut Fudge",2018-01-01 14:55:50,$3.50,2,$7.00
10006,"""SORBET"" Lemon",2018-01-01 14:55:50,$2.50,3,$7.50
10007,"""ICE CREAM"" Peanut Fudge",2018-01-01 15:03:17,$3.50,3,$10.50
10007,"""CONE"" Sugar Cone",2018-01-01 15:03:17,$1.00,3,$3.00
10007,"""SORBET"" Raspberry",2018-01-01 15:03:17,$2.50,2,$5.00
10007,,2018-01-01 15:03:17,$2.50,1,$2.50
10007,"""ICE CREAM"" Matcha",2018-01-01 15:03:17,$-1.50,2,$-3.00
10008,"""SORBET"" Watermelon",2018-01-01 15:48:02,$2.50,2,$5.00
10008,"""SORBET"" Raspberry",2018-01-01 15:48:02,$2.50,1,$2.50
10008,"""ICE CREAM"" Earl Gray",2018-01-01 15:48:02,$0.50,2,$1.00
10008,"""SORBET"" Raspberry",2018-01-01 15:48:02,$2.50,3,$7.50
10009,"""SORBET"" Blood Orange",2018-01-01 16:14:06,$2.50,3,$7.50
10009,"""CONE"" Sugar Cone",2018-01-01 16:14:06,$1.00,2,$2.00
10010,"""ICE CREAM"" Vanilla Bean",2018-01-01 16:14:45,$1.50,2,$3.00
10011,"""BEVERAGE"" Iced Coffee",2018-01-01 17:13:30,$2.50,3,$7.50
10011,"""ICE CREAM"" Strawberry",2018-01-01 17:13:30,$3.50,1,$3.50
10011,"""ICE CREAM"" Dulce De Leche",2018-01-01 17:13:30,$1.50,3,$4.50
10011,"""BEVERAGE"" Iced Coffee",2018-01-01 17:13:30,$2.50,2,$5.00
10011,"""ICE CREAM"" Candied Bacon",2018-01-01 17:13:30,$0.50,1,$0.50
10012,"""SORBET"" Lychee",2018-01-01 18:01:00,$3.00,2,$6.00
10012,"""ICE CREAM"" Matcha",2018-01-01 18:01:00,$1.50,1,$1.50
10012,"""BEVERAGE"" Espresso",2018-01-01 18:01:00,$2.50,1,$2.50
10013,"""ICE CREAM"" Dulce De Leche",2018-01-01 19:00:00,$1.50,1,$1.50
10014,"""ICE CREAM"" Rocky Road",2018-01-01 19:18:31,$3.50,3,$10.50
10015,"""SORBET"" Blood Orange",2018-01-01 20:11:47,$2.50,2,$5.00
10015,"""MISC"" Ice Cream Cake",2018-01-01 20:11:47,$2.00,1,$2.00
10015,"""ICE CREAM"" Vanilla Bean",2018-01-01 20:11:47,$1.50,1,$1.50
10015,"""CONE"" Dipped Waffle Cone",2018-01-01 20:11:47,$3.50,2,$7.00
10015,"""ICE CREAM"" Strawberry",2018-01-01 20:11:47,$3.50,3,$10.50
10016,"""SORBET"" Raspberry",2018-01-01 20:53:59,$-2.50,1,$-2.50
10016,"""MISC"" Ice Cream Cake",2018-01-01 20:53:59,$2.00,3,$6.00
10017,"""SORBET"" Lychee",2018-01-01 21:48:10,$3.00,3,$9.00
10017,"""ICE CREAM"" Dulce De Leche",2018-01-01 21:48:10,$1.50,2,$3.00
10017,"""ICE CREAM"" Rocky Road",2018-01-01 21:48:10,$3.50,2,$7.00
10018,"""ICE CREAM"" Candied Bacon",2018-01-01 22:35:19,$0.50,3,$1.50
10018,"""SORBET"" Watermelon",2018-01-01 22:35:19,$2.50,2,$5.00
10018,"""ICE CREAM"" Peanut Fudge",2018-01-01 22:35:19,$3.50,3,$10.50
10018,"""SORBET"" Raspberry",2018-01-01 22:35:19,$2.50,3,$7.50
10019,"""ICE CREAM"" Wildberry",2018-01-01 22:41:56,$1.50,3,$4.50
10020,"""ICE CREAM"" Wildberry",2018-01-01 23:24:31,$1.50,1,$1.50
10020,"""BEVERAGE"" Tea",2018-01-01 23:24:31,$4.00,3,$12.00
10020,"""ICE CREAM"" Strawberry",2018-01-01 23:24:31,$3.50,2,$7.00
10021,"""ICE CREAM"" Matcha",2018-01-01 23:50:49,$1.50,1,$1.50
10021,"""CONE"" Waffle Cone",2018-01-01 23:50:49,$4.00,3,$12.00
10021,"""ICE CREAM"" Matcha",2018-01-01 23:50:49,$1.50,3,$4.50
10021,"""ICE CREAM"" Dulce De Leche",2018-01-01 23:50:49,$1.50,3,$4.50
10022,"""SORBET"" Lychee",2018-01-02 00:38:37,$3.00,2,$5.00
10023,"""BEVERAGE"" Tea",2018-01-02 01:28:12,$4.00,1,$4.00
10024,"""ICE CREAM"" Mint Chip",2018-01-02 02:05:29,$1.50,2,$3.00
10025,"""MISC"" Ice Cream Cake",2018-01-02 02:57:41,$2.00,1,$2.00
10025,"""SORBET"" Lemon",2018-01-02 02:57:41,$2.50,2,$5.00
10025,"""ICE CREAM"" Mint Chip",2018-01-02 02:57:41,$1.50,2,$3.00
10025,"""SORBET"" Blood Orange",2018-01-02 02:57:41,$2.50,3,$7.50
10026,"""SORBET"" Lemon",2018-01-02 03:25:40,$2.50,2,$5.00
10026,"""CONE"" Brownie Cone",2018-01-02 03:25:40,$3.00,1,$3.00
10026,,2018-01-02 03:25:40,$0.50,2,$1.00
10027,"""CONE"" Dipped Waffle Cone",2018-01-02 03:46:29,$3.50,2,$7.00
10027,"""ICE CREAM"" Vanilla Bean",2018-01-02 03:46:29,$1.50,3,$4.50
10027,"""BEVERAGE"" Espresso",2018-01-02 03:46:29,$2.50,2,$5.00
10028,"""ICE CREAM"" Dulce De Leche",2018-01-02 04:32:57,$1.50,2,$3.00
10028,"""ICE CREAM"" Matcha",2018-01-02 04:32:57,$1.50,3,$4.50
10028,"""MISC"" Ice Cream Cake",2018-01-02 04:32:57,$2.00,1,$2.00
10029,"""BEVERAGE"" Iced Coffee",2018-01-02 04:54:24,$2.50,3,$7.50
10030,"""CONE"" Waffle Cone",2018-01-02 04:56:07,$4.00,2,$8.00
10030,"""ICE CREAM"" Dark Chocolate",2018-01-02 04:56:07,$4.00,2,$8.00
10030,"""CONE"" Brownie Cone",2018-01-02 04:56:07,$3.00,1,$3.00
10031,,2018-01-02 05:45:48,$3.50,3,$10.50
10031,"""ICE CREAM"" Mint Chip",2018-01-02 05:45:48,$1.50,1,$1.50
10031,"""ICE CREAM"" Candied Bacon",2018-01-02 05:45:48,$0.50,1,$0.50
10032,"""SORBET"" Watermelon",2018-01-02 05:49:20,$2.50,2,$5.00
10032,"""ICE CREAM"" Wildberry",2018-01-02 05:49:20,$1.50,2,$3.00
10033,"""ICE CREAM"" Mint Chip",2018-01-02 06:29:26,$1.50,1,$1.50
10033,"""BEVERAGE"" Espresso",2018-01-02 06:29:26,$2.50,3,$7.50
10034,"""MISC"" Ice Cream Cake",2018-01-02 07:17:19,$2.00,1,$2.00
10034,"""CONE"" Waffle Cone",2018-01-02 07:17:19,$4.00,2,$8.00
10034,"""SORBET"" Blood Orange",2018-01-02 07:17:19,$2.50,2,$5.00
10034,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 07:17:19,$2.00,1,$2.00
10035,"""BEVERAGE"" Tea",2018-01-02 07:25:50,$4.00,2,$8.00
10035,"""ICE CREAM"" Dulce De Leche",2018-01-02 07:25:50,$1.50,1,$1.50
10035,"""BEVERAGE"" Iced Coffee",2018-01-02 07:25:50,$2.50,3,$7.50
10035,"""CONE"" Sugar Cone",2018-01-02 07:25:50,$1.00,1,$1.00
10035,"""ICE CREAM"" Matcha",2018-01-02 07:25:50,$1.50,3,$4.50
10036,"""ICE CREAM"" Wildberry",2018-01-02 07:33:02,$1.50,3,$4.50
10036,"""MISC"" Ice Cream Cake",2018-01-02 07:33:02,$2.00,1,$2.00
10037,"""CONE"" Cookie Cone",2018-01-02 07:41:19,$4.00,1,$4.00
10037,"""MISC"" Ice Cream Cake",2018-01-02 07:41:19,$2.00,3,$6.00
10037,"""ICE CREAM"" Mint Chip",2018-01-02 07:41:19,$1.50,2,$3.00
10037,"""ICE CREAM"" Matcha",2018-01-02 07:41:19,$1.50,3,$4.50
10037,"""CONE"" Sugar Cone",2018-01-02 07:41:19,$1.00,3,$3.00
10038,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 08:01:33,$2.00,3,$6.00
10038,"""ICE CREAM"" Dark Chocolate",2018-01-02 08:01:33,$4.00,3,$12.00
10038,"""ICE CREAM"" Double Fudge Chunk",2018-01-02 08:01:33,$3.50,2,$7.00
10038,"""CONE"" Dipped Waffle Cone",2018-01-02 08:01:33,$3.50,2,$7.00
10039,"""CONE"" Brownie Cone",2018-01-02 09:00:57,$3.00,2,$6.00
10039,"""ICE CREAM"" Vanilla Bean",2018-01-02 09:00:57,$1.50,1,$1.50
10039,"""ICE CREAM"" Matcha",2018-01-02 09:00:57,$1.50,3,$4.50
10040,"""BEVERAGE"" Espresso",2018-01-02 09:27:32,$2.50,3,$7.50
10041,"""ICE CREAM"" Matcha",2018-01-02 09:46:13,$1.50,3,$4.50
10041,"""ICE CREAM"" Candied Bacon",2018-01-02 09:46:13,$0.50,2,$1.00
10041,"""ICE CREAM"" Strawberry",2018-01-02 09:46:13,$3.50,3,$10.50
10041,"""ICE CREAM"" Matcha",2018-01-02 09:46:13,$1.50,1,$1.50
10041,"""ICE CREAM"" Rocky Road",2018-01-02 09:46:13,$3.50,2,$7.00
10042,"""CONE"" Waffle Cone",2018-01-02 10:13:39,$4.00,3,$12.00
10043,,2018-01-02 10:17:54,$4.00,2,$8.00
10044,"""SORBET"" Watermelon",2018-01-02 11:08:39,$2.50,2,$5.00
10045,"""ICE CREAM"" Matcha",2018-01-02 11:29:19,$1.50,1,$1.50
10045,"""BEVERAGE"" Iced Coffee",2018-01-02 11:29:19,$2.50,3,$7.50
10046,"""SORBET"" Blood Orange",2018-01-02 11:45:48,$2.50,1,$2.50
10047,"""ICE CREAM"" Double Fudge Chunk",2018-01-02 12:01:59,$3.50,1,$3.50
10048,"""CONE"" Dipped Waffle Cone",2018-01-02 13:00:23,$3.50,2,$7.00
10048,"""ICE CREAM"" Double Fudge Chunk",2018-01-02 13:00:23,$3.50,1,$3.50
10048,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 13:00:23,$2.00,1,$2.00
10048,"""ICE CREAM"" Matcha",2018-01-02 13:00:23,$1.50,2,$3.00
10048,"""ICE CREAM"" Wildberry",2018-01-02 13:00:23,$1.50,2,$3.00
10049,"""CONE"" Waffle Cone",2018-01-02 13:47:55,$4.00,2,$8.00
10049,"""CONE"" Dipped Waffle Cone",2018-01-02 13:47:55,$3.50,1,$3.50
10049,"""SORBET"" Watermelon",2018-01-02 13:47:55,$2.50,1,$2.50
10049,"""CONE"" Dipped Waffle Cone",2018-01-02 13:47:55,$3.50,1,$3.50
10050,"""ICE CREAM"" Dulce De Leche",2018-01-02 14:43:20,$1.50,2,$3.00
10050,"""ICE CREAM"" Wildberry",2018-01-02 14:43:20,$1.50,1,$1.50
10050,,2018-01-02 14:43:20,$2.50,2,$5.00
10050,"""SORBET"" Raspberry",2018-01-02 14:43:20,$2.50,1,$2.50
10051,"""ICE CREAM"" Earl Gray",2018-01-02 14:53:19,$0.50,3,$1.50
10051,"""ICE CREAM"" Wildberry",2018-01-02 14:53:19,$1.50,3,$4.50
10051,"""ICE CREAM"" Dark Chocolate",2018-01-02 14:53:19,$4.00,2,$8.00
10051,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 14:53:19,$2.00,3,$6.00
10052,"""CONE"" Sugar Cone",2018-01-02 15:35:35,$1.00,1,$1.00
10053,"""BEVERAGE"" Iced Coffee",2018-01-02 16:08:37,$2.50,1,$2.50
10053,,2018-01-02 16:08:37,$4.00,2,$8.00
10053,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 16:08:37,$2.00,3,$6.00
10053,"""ICE CREAM"" Strawberry",2018-01-02 16:08:37,$3.50,2,$7.00
10053,"""ICE CREAM"" Strawberry",2018-01-02 16:08:37,$3.50,3,$10.50
10054,"""CONE"" Waffle Cone",2018-01-02 17:06:28,$4.00,3,$12.00
10054,"""ICE CREAM"" Mint Chip",2018-01-02 17:06:28,$1.50,1,$1.50
10054,"""SORBET"" Lychee",2018-01-02 17:06:28,$3.00,1,$3.00
10054,"""CONE"" Cookie Cone",2018-01-02 17:06:28,$4.00,3,$12.00
10054,"""BEVERAGE"" Tea",2018-01-02 17:06:28,$4.00,1,$4.00
10055,"""SORBET"" Lemon",2018-01-02 17:57:23,$2.50,3,$7.50
10056,"""CONE"" Sugar Cone",2018-01-02 18:22:34,$1.00,2,$2.00
10056,"""ICE CREAM"" Candied Bacon",2018-01-02 18:22:34,$0.50,3,$1.50
10057,"""ICE CREAM"" Dulce De Leche",2018-01-02 18:36:56,$1.50,1,$1.50
10057,"""SORBET"" Watermelon",2018-01-02 18:36:56,$2.50,1,$2.50
10057,"""SORBET"" Raspberry",2018-01-02 18:36:56,$2.50,3,$7.50
10058,"""BEVERAGE"" Tea",2018-01-02 19:07:53,$4.00,2,$8.00
10058,"""ICE CREAM"" Vanilla Bean",2018-01-02 19:07:53,$1.50,1,$1.50
10059,"""BEVERAGE"" Tea",2018-01-02 19:16:05,$4.00,2,$8.00
10059,"""BEVERAGE"" Espresso",2018-01-02 19:16:05,$2.50,3,$7.50
10060,"""ICE CREAM"" Matcha",2018-01-02 20:01:43,$1.50,3,$4.50
10060,"""SORBET"" Watermelon",2018-01-02 20:01:43,$2.50,3,$7.50
10060,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 20:01:43,$2.00,1,$2.00
10061,"""ICE CREAM"" Dark Chocolate",2018-01-02 20:26:42,$4.00,2,$8.00
10062,"""CONE"" Dipped Waffle Cone",2018-01-02 20:32:50,$3.50,3,$10.50
10062,"""SORBET"" Raspberry",2018-01-02 20:32:50,$2.50,1,$2.50
10062,"""CONE"" Cookie Cone",2018-01-02 20:32:50,$4.00,3,$12.00
10062,"""CONE"" Waffle Cone",2018-01-02 20:32:50,$4.00,1,$4.00
10063,"""ICE CREAM"" Earl Gray",2018-01-02 21:28:36,$0.50,3,$1.50
10063,"""ICE CREAM"" Earl Gray",2018-01-02 21:28:36,$0.50,3,$1.50
10063,"""ICE CREAM"" Dulce De Leche",2018-01-02 21:28:36,$1.50,1,$1.50
10064,"""ICE CREAM"" Strawberry",2018-01-02 22:01:34,$3.50,3,$10.50
10064,"""MISC"" Ice Cream Cake",2018-01-02 22:01:34,$2.00,2,$4.00
10064,"""CONE"" Waffle Cone",2018-01-02 22:01:34,$4.00,3,$12.00
10064,"""CONE"" Cookie Cone",2018-01-02 22:01:34,$4.00,3,$12.00
10065,"""CONE"" Waffle Cone",2018-01-02 22:18:57,$4.00,1,$4.00
10065,"""ICE CREAM"" Double Fudge Chunk",2018-01-02 22:18:57,$3.50,1,$3.50
10065,"""BEVERAGE"" Iced Coffee",2018-01-02 22:18:57,$2.50,1,$2.50
10065,"""ICE CREAM"" Dark Chocolate",2018-01-02 22:18:57,$4.00,3,$12.00
10066,"""ICE CREAM"" Vanilla Bean",2018-01-02 22:46:28,$-1.50,3,$-4.50
10067,"""ICE CREAM"" Maple Brown Sugar",2018-01-02 22:59:26,$2.00,2,$4.00
10067,"""ICE CREAM"" Matcha",2018-01-02 22:59:26,$1.50,2,$3.00
10067,"""BEVERAGE"" Espresso",2018-01-02 22:59:26,$2.50,3,$7.50
10068,"""SORBET"" Watermelon",2018-01-02 23:41:49,$2.50,1,$2.50
10069,"""SORBET"" Lemon",2018-01-02 23:54:23,$2.50,1,$2.50
10069,"""ICE CREAM"" Wildberry",2018-01-02 23:54:23,$1.50,3,$4.50
10069,"""SORBET"" Blood Orange",2018-01-02 23:54:23,$2.50,1,$2.50
10070,"""ICE CREAM"" Rocky Road",2018-01-03 00:25:38,$3.50,3,$10.50
10070,"""ICE CREAM"" Candied Bacon",2018-01-03 00:25:38,$0.50,2,$1.00
10070,"""ICE CREAM"" Maple Brown Sugar",2018-01-03 00:25:38,$2.00,2,$4.00
